                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.1966,                 1.0235,                 1.0768,                0.77059,                0.86709,                0.83698,                0.68504,                0.72239,                0.77503,                 0.8814,             0.00047302,             0.00047302,             0.00047302
                     14,                 1.2315,                0.99395,                 1.0704,                0.80562,                 0.8394,                  0.861,                0.65979,                0.86261,                0.75881,                0.91115,             0.00046844,             0.00046844,             0.00046844
                     24,                 1.1225,                0.87166,                 1.0353,                0.84498,                0.81646,                0.85187,                0.68507,                0.71127,                 0.7461,                0.88447,             0.00040573,             0.00040573,             0.00040573
                     25,                 1.1356,                0.84268,                  1.019,                0.85759,                 0.8385,                0.86092,                0.67127,                0.82596,                0.72181,                0.89669,             0.00039798,             0.00039798,             0.00039798
                     15,                 1.1998,                0.98034,                 1.0556,                0.83124,                 0.8417,                0.85364,                0.70451,                 0.6785,                0.84733,                0.88669,             0.00046353,             0.00046353,             0.00046353
                     26,                 1.1653,                0.88376,                 1.0428,                0.80506,                0.86257,                0.85603,                0.72178,                0.65513,                0.69773,                 0.8603,                0.00039,                0.00039,                0.00039
                     16,                 1.1671,                 0.9531,                 1.0543,                0.76513,                0.87975,                0.83245,                0.68913,                 0.6873,                0.77013,                0.87435,             0.00045829,             0.00045829,             0.00045829
                     17,                 1.1244,                0.93221,                 1.0327,                 0.8257,                0.81013,                0.84944,                 0.7048,                 0.6498,                0.72039,                 0.8665,             0.00045273,             0.00045273,             0.00045273
                     27,                 1.1543,                0.87692,                 1.0453,                0.79558,                0.86709,                0.85581,                 0.6968,                0.73871,                0.72148,                0.87768,             0.00038182,             0.00038182,             0.00038182
                     18,                  1.151,                0.91761,                 1.0429,                0.84417,                0.79747,                0.86286,                0.72803,                0.65752,                0.74068,                0.87053,             0.00044687,             0.00044687,             0.00044687
                     28,                 1.1072,                0.87845,                 1.0343,                0.81409,                 0.8481,                0.84396,                0.67618,                0.79559,                0.75136,                0.89035,             0.00037343,             0.00037343,             0.00037343
                     29,                 1.0931,                0.85237,                 1.0226,                0.83242,                0.84177,                0.86534,                0.70226,                0.71562,                0.67242,                0.87447,             0.00036486,             0.00036486,             0.00036486
                     19,                 1.1555,                0.91985,                 1.0269,                0.83159,                0.81258,                0.83744,                0.68931,                 0.7193,                0.76229,                0.87381,              0.0004407,              0.0004407,              0.0004407
                     30,                 1.1302,                 0.9139,                  1.033,                0.86661,                0.82239,                0.86951,                0.74884,                0.60618,                0.64031,                0.85194,             0.00035612,             0.00035612,             0.00035612
                     20,                 1.1585,                 0.9241,                 1.0348,                0.85247,                0.81013,                0.84012,                0.69574,                0.67666,                0.74498,                 0.8728,             0.00043424,             0.00043424,             0.00043424
                     21,                 1.1515,                0.90648,                 1.0505,                0.87219,                0.83544,                0.86331,                0.68614,                0.79665,                0.71296,                0.88726,             0.00042751,             0.00042751,             0.00042751
                     22,                 1.1208,                 0.9199,                 1.0358,                 0.8158,                0.84093,                0.84136,                0.70349,                0.69123,                0.71822,                0.87007,              0.0004205,              0.0004205,              0.0004205
                     32,                 1.0548,                0.83019,                 1.0144,                0.83602,                0.82278,                0.85999,                  0.687,                0.76222,                 0.7314,                0.88476,             0.00033816,             0.00033816,             0.00033816
                     33,                 1.0735,                0.83384,                 1.0017,                0.78144,                0.88254,                0.85138,                0.68266,                0.77133,                0.76426,                0.88257,             0.00032898,             0.00032898,             0.00032898
                     23,                 1.1556,                0.88982,                  1.049,                0.82948,                0.82278,                0.86383,                0.71521,                0.65807,                0.70081,                 0.8686,             0.00041324,             0.00041324,             0.00041324
                     24,                 1.1082,                 0.8583,                 1.0275,                0.84533,                0.85443,                0.86757,                 0.7124,                  0.664,                0.70219,                0.87256,             0.00040573,             0.00040573,             0.00040573
                     34,                  1.107,                  0.837,                  1.017,                0.85226,                0.82278,                0.85517,                0.67954,                0.78434,                0.70107,                0.88239,             0.00031968,             0.00031968,             0.00031968
                     25,                 1.1208,                0.82752,                 1.0139,                0.83811,                0.84177,                0.86286,                0.72464,                 0.6566,                0.68912,                0.86656,             0.00039798,             0.00039798,             0.00039798
                     35,                 1.0794,                0.85769,                 1.0129,                0.84754,                0.82278,                0.84166,                0.70133,                0.64663,                0.69685,                0.85816,             0.00031028,             0.00031028,             0.00031028
                     26,                 1.1404,                0.86444,                 1.0314,                0.82363,                0.82911,                0.85815,                0.71932,                0.63123,                0.68733,                 0.8617,                0.00039,                0.00039,                0.00039
                     36,                 1.0887,                0.82815,                 1.0187,                0.84509,                0.81013,                0.84413,                 0.7056,                0.66563,                0.74803,                0.85858,             0.00030078,             0.00030078,             0.00030078
                     37,                 1.0712,                0.81395,                 1.0213,                0.85074,                 0.8038,                0.82972,                0.68822,                0.68983,                0.71934,                0.86589,             0.00029122,             0.00029122,             0.00029122
                     27,                 1.1713,                0.88267,                 1.0467,                0.82466,                0.83346,                0.83589,                0.67663,                0.74087,                0.73206,                0.88204,             0.00038182,             0.00038182,             0.00038182
                     38,                 1.0674,                0.80448,                 1.0139,                0.84359,                0.81013,                0.83528,                0.69724,                 0.7101,                0.68029,                0.87332,             0.00028159,             0.00028159,             0.00028159
                     28,                 1.1215,                0.88956,                 1.0331,                 0.8105,                0.86624,                 0.8441,                0.70033,                0.69755,                0.72704,                 0.8738,             0.00037343,             0.00037343,             0.00037343
                     29,                 1.0851,                0.83907,                 1.0203,                0.83401,                0.83544,                0.85485,                0.70276,                0.71912,                0.67909,                0.87433,             0.00036486,             0.00036486,             0.00036486
                     39,                 1.0821,                0.83501,                   1.01,                0.82325,                0.82543,                0.84405,                0.71345,                0.62356,                0.68985,                 0.8592,             0.00027192,             0.00027192,             0.00027192
                     30,                 1.1322,                 0.9068,                 1.0351,                0.81283,                0.82458,                0.88017,                0.75801,                0.59682,                 0.6474,                0.85305,             0.00035612,             0.00035612,             0.00035612
                     40,                 1.0638,                0.83165,                 1.0165,                0.83531,                0.81013,                0.85161,                0.71459,                0.65088,                0.69925,                 0.8643,             0.00026222,             0.00026222,             0.00026222
                     31,                 1.1049,                0.85189,                 1.0213,                0.84017,                0.79847,                0.86953,                0.74818,                0.59238,                0.65976,                0.85426,             0.00034721,             0.00034721,             0.00034721
                     41,                 1.0801,                0.80195,                 1.0192,                0.80681,                0.84582,                0.86306,                0.73906,                0.60457,                0.68173,                0.85505,              0.0002525,              0.0002525,              0.0002525
                     42,                 1.0474,                0.81114,                  1.021,                0.79869,                0.87342,                0.86261,                0.72477,                0.63536,                0.65545,                 0.8571,             0.00024278,             0.00024278,             0.00024278
                     32,                 1.0388,                0.80076,                 1.0111,                0.82491,                0.86076,                0.86392,                0.71223,                0.69257,                0.71209,                0.87047,             0.00033816,             0.00033816,             0.00033816
                     33,                 1.0765,                0.82169,                 1.0015,                0.84353,                0.85299,                0.86283,                0.73595,                0.63332,                0.69765,                0.85564,             0.00032898,             0.00032898,             0.00032898
                     43,                 1.0401,                  0.798,                0.99045,                0.84601,                0.82278,                0.86534,                0.74506,                0.58792,                0.65634,                0.84804,             0.00023308,             0.00023308,             0.00023308
                     34,                 1.1011,                0.82671,                 1.0143,                0.85439,                0.85418,                0.86148,                0.73348,                0.64942,                0.64573,                0.85428,             0.00031968,             0.00031968,             0.00031968
                     44,                 1.0707,                0.83139,                 1.0308,                0.87845,                0.81013,                0.88462,                0.73034,                0.69701,                0.66435,                 0.8702,             0.00022341,             0.00022341,             0.00022341
                     35,                 1.0827,                0.85218,                  1.018,                0.84349,                0.85275,                0.86084,                0.73894,                0.59685,                0.65943,                0.84425,             0.00031028,             0.00031028,             0.00031028
                     45,                  1.092,                0.82671,                 1.0322,                0.86058,                 0.8204,                0.88016,                0.75442,                0.60572,                0.65005,                 0.8579,             0.00021378,             0.00021378,             0.00021378
                     36,                 1.0733,                0.83102,                 1.0146,                0.80936,                0.87342,                 0.8665,                0.74319,                0.58858,                0.70419,                0.84209,             0.00030078,             0.00030078,             0.00030078
                     46,                 1.0442,                  0.798,                  0.998,                0.81323,                0.88608,                0.88332,                0.72716,                0.72555,                0.70019,                0.87768,             0.00020422,             0.00020422,             0.00020422
                     37,                  1.064,                0.80789,                 1.0203,                0.79867,                0.89241,                0.86879,                0.73371,                0.66456,                0.67813,                 0.8558,             0.00029122,             0.00029122,             0.00029122
                     47,                 1.0364,                0.78346,                 1.0012,                0.83394,                0.86709,                0.86249,                0.73202,                 0.6484,                0.64988,                0.86466,             0.00019472,             0.00019472,             0.00019472
                     38,                 1.0683,                0.80723,                 1.0101,                0.86994,                0.81013,                 0.8701,                0.74671,                0.65276,                0.64038,                0.85714,             0.00028159,             0.00028159,             0.00028159
                     48,                 1.0797,                0.82664,                 1.0263,                0.85315,                0.84572,                0.86939,                0.72469,                0.71524,                0.67339,                0.88096,             0.00018532,             0.00018532,             0.00018532
                     39,                  1.076,                0.82956,                 1.0015,                0.84154,                0.81646,                0.87384,                0.75734,                0.58212,                  0.645,                0.84923,             0.00027192,             0.00027192,             0.00027192
                     49,                 1.0309,                0.76943,                0.99257,                0.86144,                 0.8481,                0.86698,                0.74841,                0.62866,                0.66952,                0.86508,             0.00017602,             0.00017602,             0.00017602
                     40,                 1.0442,                0.82621,                 1.0063,                0.86351,                0.82278,                0.86981,                  0.744,                0.59275,                0.65243,                 0.8548,             0.00026222,             0.00026222,             0.00026222
                     50,                 1.0452,                0.74179,                 1.0077,                0.82399,                0.85925,                0.85014,                0.72041,                0.64095,                 0.7018,                 0.8646,             0.00016684,             0.00016684,             0.00016684
                     41,                 1.0698,                0.80285,                 1.0141,                0.85681,                0.82911,                0.86311,                0.73945,                0.62393,                0.68693,                0.86288,              0.0002525,              0.0002525,              0.0002525
                     51,                 1.0552,                0.78453,                 1.0176,                  0.834,                0.82678,                0.83772,                0.70758,                0.64407,                 0.6908,                0.86569,             0.00015779,             0.00015779,             0.00015779
                     52,                 1.0333,                0.75452,                 1.0067,                0.82521,                0.81013,                0.83789,                0.71329,                0.63747,                0.68542,                 0.8666,             0.00014888,             0.00014888,             0.00014888
                     42,                 1.0662,                0.81038,                 1.0227,                0.85395,                0.82911,                0.86403,                0.73735,                0.60099,                0.65347,                 0.8525,             0.00024278,             0.00024278,             0.00024278
                     53,                 1.0115,                0.74911,                 0.9937,                0.81655,                0.84514,                0.84787,                0.74073,                 0.5748,                0.66447,                0.85566,             0.00014014,             0.00014014,             0.00014014
                     43,                 1.0446,                0.79427,                0.99018,                 0.8749,                0.84098,                0.85637,                0.74473,                0.56738,                0.63962,                0.84338,             0.00023308,             0.00023308,             0.00023308
                     54,                 1.0223,                0.76214,                 1.0049,                0.85564,                0.82528,                0.85387,                0.74111,                0.57519,                0.65002,                0.85383,             0.00013157,             0.00013157,             0.00013157
                     44,                 1.0666,                0.83338,                 1.0311,                0.86735,                0.85443,                0.87715,                0.72478,                0.67609,                0.67035,                 0.8642,             0.00022341,             0.00022341,             0.00022341
                     55,                 1.0053,                0.73544,                0.98691,                0.86014,                0.82278,                0.85634,                0.73907,                0.60566,                0.65246,                0.85606,             0.00012318,             0.00012318,             0.00012318
                     45,                 1.1022,                 0.8263,                 1.0324,                0.86434,                0.84177,                0.87736,                0.76258,                0.58025,                 0.6353,                 0.8486,             0.00021378,             0.00021378,             0.00021378
                     56,                0.98298,                0.73056,                0.98229,                0.83056,                0.83544,                0.85474,                0.73559,                0.62678,                  0.674,                 0.8574,               0.000115,               0.000115,               0.000115
                     46,                 1.0613,                0.77993,                 1.0042,                0.84819,                0.88407,                0.87744,                0.72173,                0.71366,                0.70316,                0.87077,             0.00020422,             0.00020422,             0.00020422
                     57,                 1.0362,                0.76242,                0.98887,                0.84948,                0.81013,                 0.8501,                0.73586,                0.57458,                0.66365,                0.84805,             0.00010702,             0.00010702,             0.00010702
                     47,                 1.0316,                0.78034,                0.99814,                 0.8413,                0.87342,                0.86316,                0.74597,                0.58099,                0.66531,                0.84643,             0.00019472,             0.00019472,             0.00019472
                     58,                0.97963,                0.71658,                0.97907,                0.85783,                0.82911,                0.85765,                0.72621,                0.63314,                0.65647,                0.85862,             9.9274e-05,             9.9274e-05,             9.9274e-05
                     48,                 1.0842,                0.81448,                  1.027,                0.85026,                0.87342,                0.86693,                0.74669,                0.60634,                0.63585,                0.85432,             0.00018532,             0.00018532,             0.00018532
                     49,                 1.0288,                0.76085,                  0.989,                0.85602,                0.86549,                0.87047,                0.74913,                0.60787,                0.65148,                0.85759,             0.00017602,             0.00017602,             0.00017602
                     59,                 1.0432,                0.75757,                0.99701,                0.85185,                0.83701,                 0.8709,                0.72652,                0.68027,                0.65918,                 0.8669,             9.1762e-05,             9.1762e-05,             9.1762e-05
                     50,                 1.0383,                0.73224,                 1.0013,                0.84197,                0.86709,                0.86667,                0.75455,                0.56885,                0.67004,                0.84877,             0.00016684,             0.00016684,             0.00016684
                     60,                 1.0269,                0.72207,                0.99198,                0.83666,                0.84292,                0.86891,                0.75128,                0.59603,                0.64722,                0.85084,             8.4497e-05,             8.4497e-05,             8.4497e-05
                     61,                 1.0046,                0.77187,                 0.9907,                0.85043,                0.82911,                0.86442,                0.75652,                0.57097,                0.63218,                 0.8462,             7.7491e-05,             7.7491e-05,             7.7491e-05
                     51,                 1.0298,                 0.7742,                 1.0107,                0.82166,                0.87477,                0.86207,                0.74441,                  0.587,                0.64769,                0.85161,             0.00015779,             0.00015779,             0.00015779
                     62,                 1.0047,                0.72055,                 0.9935,                0.85056,                0.82857,                0.85921,                0.74866,                0.57385,                 0.6353,                0.84672,             7.0755e-05,             7.0755e-05,             7.0755e-05
                     52,                  1.021,                0.74518,                0.99944,                0.82542,                0.87342,                0.86324,                0.74051,                0.57799,                0.65574,                0.85119,             0.00014888,             0.00014888,             0.00014888
                     53,                 1.0005,                0.74861,                0.99301,                0.84461,                0.86002,                0.86358,                0.75408,                0.56826,                0.65669,                0.84729,             0.00014014,             0.00014014,             0.00014014
                     63,                0.99285,                0.73934,                0.99021,                0.83634,                0.84093,                0.85661,                0.74992,                0.54964,                0.63551,                0.84232,               6.43e-05,               6.43e-05,               6.43e-05
                     54,                 1.0235,                0.75997,                 1.0021,                 0.8389,                0.86709,                0.86293,                 0.7566,                0.54549,                0.63334,                0.84094,             0.00013157,             0.00013157,             0.00013157
                     64,                 1.0294,                0.74234,                  1.008,                0.84508,                0.83544,                0.86612,                0.75316,                0.57755,                0.63591,                0.84515,             5.8134e-05,             5.8134e-05,             5.8134e-05
                     55,                0.99548,                0.72607,                0.98016,                0.84191,                0.86076,                0.86977,                0.75854,                0.55925,                0.63118,                0.84115,             0.00012318,             0.00012318,             0.00012318
                     65,                 1.0037,                 0.7377,                0.99151,                0.84664,                 0.8386,                0.87099,                0.75199,                0.60562,                0.64621,                0.84885,             5.2268e-05,             5.2268e-05,             5.2268e-05
                     56,                 0.9776,                0.71856,                0.97888,                0.85833,                0.84177,                0.86905,                0.75146,                0.58685,                0.65087,                0.84379,               0.000115,               0.000115,               0.000115
                     66,                0.84458,                 0.7379,                0.93565,                 0.8552,                0.82278,                0.87343,                0.74659,                0.60949,                0.67463,                0.84733,             4.6711e-05,             4.6711e-05,             4.6711e-05
